Term,Feature_class,Image_type,Coefficient_on_standardized_scale,Direction,Training_mean_for_standardization,Training_SD_for_standardization,Minimum_ICC
(Intercept),Intercept,,-6.12521947480383e-17,Negative,,,
original_shape_Compactness2,Shape,Original,0.196518898648995,Positive,0.0371269637728555,0.0149293261944881,0.81922815964595
original_shape_Maximum2DDiameterSlice,Shape,Original,0.231545534510617,Positive,80.1961024578862,8.38394566419164,0.91403056156799
original_glcm_Autocorrelation,GLCM,Original,-0.00173108337031287,Negative,588.051670909677,172.493532350894,0.8225980049969
original_glcm_ClusterShade,GLCM,Original,0.0165335248649646,Positive,2299.42143471462,3031.07728443994,0.83586521339682
original_glcm_Correlation,GLCM,Original,0.115897353697732,Positive,0.8853173021163,0.0457880370122781,0.825268572078167
original_glcm_InverseVariance,GLCM,Original,-0.126986163165913,Negative,0.359628625082663,0.0354709444892982,0.832741358355634
original_glszm_GrayLevelNonUniformity,GLSZM,Original,0.00199862384032442,Positive,220.122820116924,96.4713924944949,0.827051475914546
original_glszm_LargeAreaLowGrayLevelEmphasis,GLSZM,Original,-0.00185502219811432,Negative,0.778035895826026,1.11521610951685,0.802683187313841
log-sigma-1-0-mm-3D_firstorder_90Percentile,First-order,LoG sigma 1 mm,-0.0776442368715164,Negative,18.8932198069526,4.86659223629072,0.890072402440149
log-sigma-1-0-mm-3D_firstorder_Kurtosis,First-order,LoG sigma 1 mm,0.0373628347790785,Positive,6.53309639175009,1.7199921759456,0.825918979851666
log-sigma-1-0-mm-3D_glcm_InverseVariance,GLCM,LoG sigma 1 mm,0.0161070665136766,Positive,0.413699794550222,0.0245435334204463,0.854974858248447
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,GLDM,LoG sigma 1 mm,-0.0363688854893148,Negative,5.79292121347163,0.145484231431054,0.857886834777255
log-sigma-2-0-mm-3D_firstorder_Skewness,First-order,LoG sigma 2 mm,0.0475034811846754,Positive,0.249834364092006,0.33480661329703,0.861907347680491
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,GLSZM,LoG sigma 2 mm,-0.12810179877559,Negative,0.0630799943965918,0.0059800039912888,0.836442728343535
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,GLDM,LoG sigma 2 mm,0.0806471919720448,Positive,6.52604609573996,0.107803448935442,0.880896915598109
log-sigma-2-0-mm-3D_gldm_DependenceVariance,GLDM,LoG sigma 2 mm,0.0555215091093061,Positive,3.37529031402775,0.890760288802934,0.886407816273091
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,First-order,LoG sigma 3 mm,-0.0349252210258058,Negative,30.28571265029,5.22623758506106,0.89617396515232
log-sigma-3-0-mm-3D_firstorder_Skewness,First-order,LoG sigma 3 mm,0.0340632267551152,Positive,0.0233941227783107,0.298259491287254,0.82429553745577
log-sigma-3-0-mm-3D_firstorder_Kurtosis,First-order,LoG sigma 3 mm,0.0498230336354101,Positive,3.67214369973822,0.65736045649235,0.883051393186497
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,GLSZM,LoG sigma 3 mm,-0.00968484373085998,Negative,35304.3545997395,33475.7589365849,0.854972477560033
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,GLSZM,LoG sigma 3 mm,0.0806283519633917,Positive,6.79707555592151,0.238868837306891,0.825458115566365
log-sigma-3-0-mm-3D_gldm_DependenceEntropy,GLDM,LoG sigma 3 mm,-0.139343439126078,Negative,6.91293094079228,0.128894364168613,0.878132607785327
log-sigma-3-0-mm-3D_ngtdm_Contrast,NGTDM,LoG sigma 3 mm,-0.0880349607233836,Negative,0.0202699167832803,0.00923356357248006,0.861541056558247

